Clave,Descripción,Línea,Pub,MM,Cj,min
10043,A OLIVA 1lt/12 BONOLIVE,ABAIN,155.00,148.00,135.00,135.00
101516,A OLIVA 3.78lt/4 BLEND GLOSS,ABAIN,395.00,395.00,375.00,365.00
101514,A OLIVA EX VIRGEN 1lt/12 INES,ABAIN,197.60,197.60,179.36,170.24
1015122,A OLIVA EX VIRGEN 5lt C/4 INES,ABAIN,774.00,774.00,722.40,722.40
10090,A OLIVA EX VIRGEN 750ml/12 YBARRA,ABAAO,260.00,260.00,245.00,245.00
101515,A OLIVA PURO 5 LT/4 INES,ABAIN,699.00,699.00,652.40,652.40
43010,A RANCH zafran 3.4lt 4 GALON,FOOZA,276.00,276.00,255.00,255.00
10020,A.OLIVA 200ml/20 YBARRA,ABAAO,88.00,88.00,84.00,84.00
10060,A.OLIVA 473ml/24 YBARRA,ABAAO,135.00,135.00,121.00,121.00
10120,A.OLIVA 8/946 ML YBARRA,ABAAO,318.00,318.00,310.00,305.00
10042,A.OLIVA EX VIRGEN 1tl/12 SAN MIGUEL,ABAAO,223.00,223.00,215.00,215.00
10140,A.OLIVA EX VIRGEN 250ml/12 YBARRA,ABAAO,115.00,115.00,105.00,104.00
10080,A.OLIVA EX VIRGEN 500ml/12 YBARRA,ABAAO,205.00,205.00,195.00,189.00
10100,A.OLIVA EX VIRGEN 750ml/6 CARBONEL,ABAAO,220.00,220.00,195.00,195.00
10165,ABLANDADOR CARNE 1320g/12 PRAGNA,SPECI,202.10,202.10,179.64,172.16
10164,ABLANDADOR CARNE 1kg/12 KOCI,SPECI,84.00,84.00,78.00,78.00
10162,ABLANDADOR CARNE 500gr ORGANIC,SPECI,45.00,45.00,41.00,39.00
10155,ACEITE 10lt/2 AVE,ABAAC,365.00,365.00,365.00,365.00
101530,ACEITE 123  10 LT GARRAFA,ABAAC,345.00,345.00,342.00,342.00
10159,ACEITE 20 lt PIEZA CRISTAL,ABAAC,660.00,660.00,660.00,660.00
10149,ACEITE 20lt canola GRANO DE ORO,ABAAC,658.00,658.00,651.00,651.00
101501,ACEITE 20lt soya GRANO DE ORO,ABAAC,675.00,675.00,675.00,675.00
